補助受理單位名稱,住址,電話,分機
"新竹市東區居家托育服務中心","新竹市光復路二段153號","(03)5753677",""
"新竹市北區居家托育服務中心","新竹市武陵路250巷11號1樓","(03)5355006",""
"新竹市香山區居家托育服務中心","新竹市牛埔南路13號2樓","(03)5301632",""
"新竹市私立禾田托嬰中心","新竹市北區金竹路146-148號1-2樓","(03)5358101",""
"新竹市私立快樂寶貝托嬰中心","新竹市東大路2段230號1-3樓","(03)5357779",""
"新竹市私立愛兒堡國際音樂托嬰中心東大校","新竹市北區東大路二段184號1樓","(03)5322222",""
"新竹市私立茱蒂園托嬰中心","新竹市光華街78巷1號1樓","(03)5358847",""
"新竹市私立茱蒂園托嬰中心寶貝分園","新竹市北區光華南街50之5號","(03)5330234",""
"新竹市私立孟格爾托嬰中心國泰分園","新竹市北區武陵路179巷10號1樓","(03)5455599",""
"新竹市私立貝比象托嬰中心","新竹市北區武陵路179巷6-1號","(03)5455336",""
"新竹市私立心搖籃國際托嬰中心武陵園","新竹市北區武陵路66號","(03)5408606",""
"新竹市私立心搖籃國際托嬰中心","新竹市北區四維路63號2樓","(03)5280512",""
"新竹市私立恩潔托嬰中心少年分園","新竹市北區少年街43-1號、45號1-2樓","(03)5250405",""
"新竹市私立國際音樂托嬰中心北區民富校","新竹市北區民富街256號1樓","(03)5221672",""
"新竹市私立小丸子托嬰中心","新竹市育英路27號1-2樓","(03)5281019",""
"新竹市私立熊寶貝托嬰中心","新竹市北區延平路一段214巷62號1-3樓","(03)5213357",""
"新竹市私立小星星托嬰中心","新竹市北區中清路一段368號","(03)5360896",""
"新竹市私立園田嘉托嬰中心北門分園","新竹市北區北門街48號1-3樓","(03)5221319",""
"新竹市北區公共托育家園","新竹市北區南勢六街11號3樓","(03)5232033",""
"新竹市私立護寶托嬰中心","新竹市北區金農路168號1樓","(03)535315",""
"新竹市私立心搖籃國際托嬰中心武陵二園","新竹市北區武陵路67號","(03)5350996",""
"新竹市私立園田嘉托嬰中心","新竹市香山區牛埔東路33巷50號1-3樓","(03)5389131",""
"新竹市私立同心園托嬰中心","新竹市香山區遊樂街29巷50號1樓","(03)5303307",""
"新竹市私立堡貝嘉托嬰中心","新竹市香山區中華路四段178巷69、71號1-2樓","(03)5380329",""
"新竹市香山區公共托育家園","新竹市香山區內湖路109號(內湖國小視聽文化館2樓)","(03)5181865",""
"新竹市私立雙子園托嬰中心","新竹市東區民生路211巷11號1樓","(03)5353698",""
"新竹市私立婕之寶托嬰中心","新竹市東區錦華街18巷23號2樓","(03)5327961",""
"新竹市私立金安福托嬰中心","新竹市東區食品路134巷55號","(03)5622611",""
"新竹市私立金安福托嬰中心林森分園","新竹市東區林森路203號2樓","(03)5220706",""
"新竹市私立億格文國際托嬰中心","新竹市東區公園路286號2樓","(03)5622828",""
"新竹市私立小天使托嬰中心","新竹市東南街188巷13號1樓","(03)5624358",""
"新竹市私立小天使托嬰中心經國分園","新竹市東區經國路一段379巷15號1-2樓","(03)5456713",""
"新竹市私立智邦科技附設托嬰中心","新竹市東區園區二路9號","(03)5770270","3634、2981"
"新竹市私立卡爾威特托嬰中心","新竹市東區建功一路65號1樓","(03)5749777",""
"新竹市私立方舟托嬰中心","新竹市東區建功一路59巷22號1樓","(03)5165000",""
"新竹市私立奧蘿拉托嬰中心","新竹市東區水源街69號2樓","(03)6211200",""
"台灣基督長老教會馬偕醫療財團法人附設新竹市私立馬偕托嬰中心","新竹市建中路40號1樓","(03)6119595","2570"
"新竹市私立長春藤托嬰中心","新竹市東區東光路29號1-2樓","(03)5728439",""
"新竹市私立貝格爾東新托嬰中心","新竹市東區東新路186號1、2樓","(03)5751137",""
"新竹市私立娃娃國托嬰中心","新竹市東區光復路一段343號","(03)5643563",""
"新竹市私立艾貝比托嬰中心","新竹市東區光復路二段928號1-2樓","(03)5621164",""
"新竹市私立愛兒堡七星級國際音樂托嬰中心","新竹市東區關東路56號1-2樓","(03)5790008",""
"新竹市私立寶貝天使托嬰中心","新竹市東區關東路23巷21號","(03)5790929",""
"新竹市私立微笑天空托嬰中心","新竹市東區金山北一街100號","(03)5788099",""
"新竹市私立鴨鴨托嬰中心","新竹市東區埔頂路586號2樓","(03)5770083",""
"新竹市私立樂芙托嬰中心","新竹市東區埔頂路528、530號1-2樓","(03)6687220",""
"新竹市私立樂芙托嬰中心埔頂二館","新竹市東區埔頂路522號1-2樓","(03)6687220",""
"新竹市私立芳岑托嬰中心","新竹市東區慈雲路85號3樓之1","(03)5771393",""
"新竹市私立芳岑托嬰中心慈雲館","新竹市東區慈雲路75號1-2樓","(03)5790575",""
"新竹市私立禾宸托嬰中心","新竹市東區埔頂里22林慈雲路101號1、2樓","(03)5781177",""
"新竹市私立璦苗人文藝術托嬰中心","新竹市東區慈雲路109號","(03)5798007",""
"新竹市私立朵多托嬰中心一館","新竹市東區慈雲路66號1-2樓","(03)5798276",""
"新竹市私立朵多托嬰中心二館","新竹市東區慈雲路60號","(03)5798276",""
"新竹市私立羿柔托嬰中心關埔一館","新竹市東區慈雲路62號1-2樓","(03)6662631",""
"新竹市私立羿柔托嬰中心關埔二館","新竹市東區慈雲路68號1-2樓","(03)6662631",""
"新竹市私立田果托嬰中心","新竹市東區關新東路262號1-2樓","(03)5797262",""
"新竹市私立甜心熊托嬰中心","新竹市東區關東路143號1-2樓","(03)6661771",""
"新竹市私立寶貝魚托嬰中心","新竹市東區關東路137號1-2樓","(03)5770666",""
"新竹市私立童話故事托嬰中心","新竹市關東路149號1-2樓","(03)6686221",""
"新竹市私立嘉德琳世傑托嬰中心","新竹市東區龍山里世傑路230號","(03)5795598",""
"新竹市私立彤宇托嬰中心","新竹市東區埔頂里12鄰埔頂二路188號","(03)5780800",""
"新竹市私立貝果托嬰中心","新竹市埔頂路245號1樓","(03)5678636",""
"新竹市私立愛格樂國際音樂托嬰中心","新竹市東區立鵬路126號","(03)5790683",""
"新竹市私立愛格樂國際音樂托嬰中心慈雲校","新竹市東區慈雲路69號1樓、1樓夾層及2樓","(03)5790893",""
"新竹市私立育慈托嬰中心","新竹市東區埔頂三路77號、79號","(03)5795136",""
"新竹市私立育慈托嬰中心育芯分園","新竹市東區龍山東路202號1-2樓","(03)6686268",""
"新竹市私立開蒙國際音樂托嬰中心愛娣恩藝術校","新竹市東區科學園路113.111.109號1-2樓","(03)6669111",""
